;Delta;Gamma;Rho(%);ThetaPerday;Vega(%);time;undly
0;6203.651800000001;3.593599999999981;3055.6596;2671.7164;-3090.6965999999993;2018-08-06;506.5
1;6154.562199999999;-33.268;2936.0802000000003;3428.2185999999997;-4949.900999999999;2018-08-07;515.0
2;6369.246;-10.937999999999988;2929.0922;3042.487;-3715.7936;2018-08-08;509.0
3;6337.191799999999;-35.21380000000002;2815.7614;3557.5440000000003;-4820.462199999999;2018-08-09;514.0
4;6576.606600000001;-3.2361999999999966;2809.9632;2979.6038000000003;-3201.8723999999993;2018-08-10;506.5
5;6500.9223999999995;-63.2538;2474.4489999999996;4299.376;-5527.858799999999;2018-08-13;517.0
6;7021.379199999999;-13.216199999999986;2548.3212;3387.5365999999995;-3329.9385999999986;2018-08-14;506.5
7;7160.3989999999985;9.765600000000006;2484.3428;2973.8933999999995;-2354.4148000000005;2018-08-15;502.5
8;6945.471200000001;71.60399999999998;2310.6410000000005;1709.103;-35.26419999999962;2018-08-16;493.5
9;7451.089999999998;-9.643399999999986;2348.8054;3498.9380000000006;-2930.934800000001;2018-08-17;504.5
10;7884.429399999999;-39.19660000000002;2115.5294000000004;4326.966600000002;-3558.116;2018-08-20;506.5
11;7883.6046;76.03659999999999;1996.9980000000003;1949.5990000000002;-112.26060000000052;2018-08-21;494.0
12;7009.7894;161.31359999999995;1691.8572;60.69919999999911;2132.257200000001;2018-08-22;485.0
13;7525.146000000002;153.682;1688.9666000000002;346.5500000000002;1758.5267999999996;2018-08-23;487.0
14;8257.0572;124.99539999999999;1713.2991999999997;1109.3110000000006;923.2538000000004;2018-08-24;490.5
15;6625.501200000002;273.6157999999999;1108.9224;-2228.8692;3383.1671999999994;2018-08-27;479.0
16;7651.602000000001;278.0828;1143.7918;-2073.1942;3082.6538000000005;2018-08-28;482.0
17;7272.312599999999;321.7296;985.0623999999998;-3039.3476;3405.5268;2018-08-29;480.0
18;8985.1944;308.2554;1057.2800000000002;-2402.4417999999996;2786.1798000000003;2018-08-30;484.5
19;9552.099400000001;338.40659999999997;978.3314000000001;-2918.8256;2754.1014;2018-08-31;485.0
20;10910.085000000003;557.9764000000001;632.7488000000001;-7288.8478000000005;2961.297;2018-09-03;484.5
21;13977.863399999998;493.99160000000006;597.8034;-5988.660599999998;1934.812;2018-09-04;488.5
22;14399.6394;739.8918000000001;410.2708;-11168.008399999999;2088.5758;2018-09-05;487.0
23;19383.477000000003;-10.788799999999995;272.20439999999996;1952.2724000000003;-82.4246;2018-09-06;495.0
24;0.0;0.0;0.0;0.0;0.0;2018-09-07;500.0
